"","CountryID","Country.Name","WEBNAME","Region","World.Rank","Region.Rank","X2014.Score","Change.in.Yearly.Score.from.2013","Property.Rights","Change.in.Property.Rights.from.2013","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2013","Fiscal.Freedom.","Change.in.Fiscal.Freedom.from.2013","Gov.t.Spending","Change.in.Gov.t.Spending.from.2013","Business.Freedom","Change.in.Business.Freedom.from.2013","Labor.Freedom","Change.in.Labor.Freedom.from.2013","Monetary.Freedom","Change.in.Monetary.Freedom.from.2013","Trade.Freedom","Change.in.Trade.Freedom.from.2013","Investment.Freedom.","Change.in.Investment.Freedom.from.2013","Financial.Freedom","Change.in.Financial.Freedom.from.2013","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP.","Country","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP."
"1",1,"Afghanistan","Afghanistan","Asia-Pacific","N/A","N/A","N/A","N/A","N/A","N/A","10,0","-5,0","91,2","N/A","84,2","1,0","63,1","3,4","75,0","-0,8","74,3","4,8","N/A","N/A","65","0,0","N/A","N/A","N/A","20,0","20,0","8,7","23,0","Afghanistan","32,0","$33,7","10,2","9,9","$1.054","35","4,4","93,8","N/A"
"2",2,"Albania","Albania","Europe","54","25","66,9","1,7","30","0,0","30,4","-0,6","92,7","0,1","75,6","0,5","78,1","-2,9","49,7","0,7","80,0","1,6","87,5","7,7","75","10,0","70","0,0","1,3","10,0","10,0","23,0","28,5","Albania","3,2","$26,1","1,3","3,7","$8.052","15,0","2,0","957,0","60,6"
"3",3,"Algeria","Algeria","Middle East / North Africa","146","14","50,8","1,2","30","0,0","28,7","-0,3","80,5","0,1","51,0","6,9","66,3","1,1","48,3","-4,3","67,8","-8,8","60,8","-7,0","45","25,0","30","0,0","12,1","35,0","25,0","10,0","40,4","Algeria","36,5","$272,9","2,5","2,4","$7.477","9,7","8,9","1.484,0","9,9"
"4",4,"Angola","Angola","Sub-Saharan Africa","160","39","47,7","0,4","15","0,0","17,7","-2,3","87,7","5,1","55,3","-5,3","47,5","4,4","40,1","-4,7","63,6","2,1","70,1","-0,1","40","5,0","40","0,0","7,4","17,0","30,0","6,1","38,6","Angola","20,2","$128,3","8,4","6,3","$6.347","N/A","10,3","-6.897,8","29,3"
"5",5,"Argentina","Argentina","South and Central America / Caribbean","166","27","44,6","-2,1","15","0,0","29,5","-0,5","63,5","-0,8","49,9","-2,2","53,9","-6,2","44,9","-2,5","60,0","-0,4","68,9","1,3","30","-10,0","30","0,0","5,6","35,0","35,0","34,6","40,9","Argentina","41,0","$743,1","1,9","5,4","$18.112","7,2","10,0","12.551,1","44,9"
"6",6,"Armenia","Armenia","Europe","41","18","68,9","-0,5","30","0,0","26,7","0,7","86,5","-1,5","81,3","-0,8","83,1","-4,5","78,5","1,4","77,0","4,0","85,5","0,1","70","-5,0","70","0,0","2,3","26,0","20,0","16,7","25,0","Armenia","3,4","$19,6","7,2","1,0","$5.838","19,0","2,5","489,1","39,5"
"7",7,"Australia","Australia","Asia-Pacific","3","3","82,0","-0,6","90","0,0","87,7","-0,3","64,2","-2,2","62,6","-0,2","94,6","-0,9","79,2","-4,3","80,5","-3,3","86,4","0,2","85","5,0","90","0,0","1,8","45,0","30,0","25,6","35,3 ","Australia","22,8","$970,8","3,6","2,5","$42.640","5,2","1,8","56.958,9","27,2"
"8",8,"Austria","Austria","Europe","24","14","72,4","0,6","90","0,0","75,5","-2,5","51,0","-0,1","23,5","-0,0","76,3","2,7","80,5","0,1","79,5","0,2","87,8","1,0","90","5,0","70","0,0","1,1","50,0","25,0","42,1","50,5 ","Austria","8,5","$359,0","0,8","0,6","$42.409","4,4","2,6","6.315,1","73,7"
"9",9,"Azerbaijan","Azerbaijan","Asia-Pacific","81","13","61,3","1,6","20","-5,0","22,7","-1,3","88,1","2,6","64,8","-3,0","73,5","4,3","77,9","-1,5","78,8","5,3","77,2","0,0","60","5,0","50","10,0","3,9","25,0","20,0","12,8","34,2","Azerbaijan","9,2","$96,8","2,2","5,4","$10.478","6,0","1,1","2.004,6","11,6"
"10",10,"Bahamas","Bahamas","South and Central America / Caribbean","36","4","69,8","-0,3","70","0,0","66,6","-6,4","97,3","0,3","84,1","-0,8","70,7","-0,6","81,5","-0,1","75,1","-0,7","52,2","5,2","30","0,0","70","0,0","18,9","0,0","0,0","16,4","23,0","The Bahamas","0,4","$11,1","2,5","-0,6","$31.382","11,0","2,3","1.093,9","51,9"
